Behaviour,Actor,Receiver,T_start,T_stop
AC,0x0005,0x000C,2020-02-11T12:05:55.794608Z,2020-02-11T12:05:57.169619Z
R,0x0005,,2020-02-11T12:06:08.419683Z,2020-02-11T12:06:29.419733Z
AC,0x0005,0x002F,2020-02-11T12:07:24.170082Z,2020-02-11T12:07:26.170097Z
AC,0x0005,0x0012,2020-02-11T12:09:19.420642Z,2020-02-11T12:09:20.670708Z
W,0x0005,,2020-02-11T12:09:52.920819Z,2020-02-11T12:09:56.920839Z
W,0x0005,,2020-02-11T12:10:19.170970Z,2020-02-11T12:10:23.671052Z
AC,0x0005,0x0038,2020-02-11T12:14:40.172354Z,2020-02-11T12:14:43.547422Z
W,0x0005,,2020-02-11T12:14:52.672499Z,2020-02-11T12:14:58.172437Z
AC,0x0005,0x0034,2020-02-11T12:15:13.797606Z,2020-02-11T12:15:16.297629Z
R,0x0005,,2020-02-11T12:17:01.548098Z,2020-02-11T12:17:21.173309Z
AC,0x0005,0x003A,2020-02-11T12:17:26.423331Z,2020-02-11T12:17:28.673327Z
R,0x0005,,2020-02-11T12:17:40.548334Z,2020-02-11T12:17:53.298477Z
R,0x0005,,2020-02-11T12:18:06.173541Z,2020-02-11T12:18:31.173683Z
R,0x0005,,2020-02-11T12:19:40.048974Z,2020-02-11T12:19:49.299116Z
AC,0x0005,0x003A,2020-02-11T12:19:56.049066Z,2020-02-11T12:19:58.549143Z
W,0x0005,,2020-02-11T12:20:04.924119Z,2020-02-11T12:20:10.174207Z
W,0x0005,,2020-02-11T12:21:04.174497Z,2020-02-11T12:21:06.549450Z
W,0x0005,,2020-02-11T12:21:54.174776Z,2020-02-11T12:21:58.049701Z
AC,0x0005,0x0019,2020-02-11T12:21:58.424752Z,2020-02-11T12:21:59.049738Z
AC,0x0005,0x003D,2020-02-11T12:23:03.550100Z,2020-02-11T12:23:04.800162Z
AC,0x0006,0x0036,2020-02-11T11:54:20.540844Z,2020-02-11T11:54:21.415846Z
AC,0x0006,0x0003,2020-02-11T11:54:24.915928Z,2020-02-11T11:54:27.040942Z
R,0x0006,,2020-02-11T11:55:36.666323Z,2020-02-11T11:56:08.166489Z
SG,0x0006,,2020-02-11T11:59:25.292498Z,2020-02-11T12:00:17.667839Z
SG,0x0006,,2020-02-11T12:00:25.792828Z,2020-02-11T12:01:19.668165Z
SG,0x0006,,2020-02-11T12:01:55.918357Z,2020-02-11T12:02:11.043364Z
AC,0x0006,0x000E,2020-02-11T12:02:47.168622Z,2020-02-11T12:02:48.043571Z
W,0x0006,,2020-02-11T12:04:57.669299Z,2020-02-11T12:05:03.044289Z
W,0x0006,,2020-02-11T12:05:13.044408Z,2020-02-11T12:05:18.044360Z
W,0x0006,,2020-02-11T12:05:20.669429Z,2020-02-11T12:05:23.294383Z
AC,0x0006,0x0036,2020-02-11T12:05:36.669524Z,2020-02-11T12:05:38.794536Z
AC,0x0006,0x0016,2020-02-11T12:06:09.169682Z,2020-02-11T12:06:10.419642Z
TB,0x0006,,2020-02-11T12:06:25.294767Z,2020-02-11T12:06:29.169744Z
AC,0x0006,0x003F,2020-02-11T12:06:30.794750Z,2020-02-11T12:06:33.419756Z
AC,0x0006,0x000D,2020-02-11T12:06:59.544892Z,2020-02-11T12:07:05.669906Z
R,0x0006,,2020-02-11T12:07:22.795022Z,2020-02-11T12:07:31.045152Z
T,0x0006,0x003F,2020-02-11T12:07:34.420136Z,2020-02-11T12:08:09.545286Z
W,0x0006,,2020-02-11T12:08:13.295358Z,2020-02-11T12:08:18.170378Z
AC,0x0006,0x0014,2020-02-11T12:08:18.420365Z,2020-02-11T12:08:20.295362Z
AC,0x0006,0x003D,2020-02-11T12:08:34.795463Z,2020-02-11T12:08:35.920474Z
AC,0x0006,0x0042,2020-02-11T12:09:26.170751Z,2020-02-11T12:09:34.920744Z
W,0x0006,,2020-02-11T12:09:38.045731Z,2020-02-11T12:09:41.045746Z
W,0x0006,,2020-02-11T12:12:01.296533Z,2020-02-11T12:12:03.421532Z
AC,0x0006,0x0038,2020-02-11T12:12:27.921633Z,2020-02-11T12:12:29.796653Z
W,0x0006,,2020-02-11T12:12:35.671697Z,2020-02-11T12:12:37.421685Z
W,0x0006,,2020-02-11T12:12:48.546826Z,2020-02-11T12:12:53.671859Z
AC,0x0006,0x0037,2020-02-11T12:12:56.921819Z,2020-02-11T12:12:58.921822Z
W,0x0006,,2020-02-11T12:13:03.796832Z,2020-02-11T12:13:06.671925Z
R,0x0006,,2020-02-11T12:14:00.047155Z,2020-02-11T12:14:06.672246Z
R,0x0006,,2020-02-11T12:14:12.672271Z,2020-02-11T12:14:45.547405Z
R,0x0006,,2020-02-11T12:15:09.422502Z,2020-02-11T12:15:25.422916Z
R,0x0006,,2020-02-11T12:16:33.547970Z,2020-02-11T12:16:37.047996Z
FR,0x0006,0x0038,2020-02-11T12:16:41.298082Z,2020-02-11T12:16:43.423012Z
SG,0x0006,,2020-02-11T12:16:50.298119Z,2020-02-11T12:16:51.048075Z
AC,0x0006,0x0025,2020-02-11T12:17:41.298396Z,2020-02-11T12:17:43.423386Z
W,0x0006,,2020-02-11T12:17:55.798489Z,2020-02-11T12:18:10.173567Z
AC,0x0006,0x002B,2020-02-11T12:18:12.798565Z,2020-02-11T12:18:13.798579Z
AC,0x0006,0x0040,2020-02-11T12:18:24.298626Z,2020-02-11T12:18:25.548587Z
AC,0x0006,0x001E,2020-02-11T12:19:02.798829Z,2020-02-11T12:19:04.048779Z
W,0x0006,,2020-02-11T12:19:12.298901Z,2020-02-11T12:19:14.173896Z
AC,0x0006,0x0008,2020-02-11T12:20:35.549289Z,2020-02-11T12:20:38.299363Z
W,0x0006,,2020-02-11T12:20:48.049343Z,2020-02-11T12:20:49.424413Z
R,0x0006,,2020-02-11T12:21:50.549665Z,2020-02-11T12:22:05.424841Z
R,0x0006,,2020-02-11T12:22:07.924852Z,2020-02-11T12:22:49.675074Z
AC,0x0006,0x001C,2020-02-11T12:22:56.800063Z,2020-02-11T12:22:58.050063Z
SG,0x0006,,2020-02-11T12:23:04.800162Z,2020-02-11T12:23:06.050096Z
R,0x0007,,2020-02-11T11:54:49.916066Z,2020-02-11T11:54:58.666100Z
AC,0x0007,0x002C,2020-02-11T11:56:40.416652Z,2020-02-11T11:56:42.041608Z
CR,0x0007,0x0003,2020-02-11T11:57:07.416738Z,2020-02-11T11:58:28.417253Z
R,0x0007,,2020-02-11T11:58:34.917296Z,2020-02-11T11:58:44.042279Z
FR,0x0007,0x0033,2020-02-11T11:58:51.042317Z,2020-02-11T11:59:04.542368Z
SG,0x0007,,2020-02-11T11:59:43.917608Z,2020-02-11T11:59:49.042678Z
SG,0x0007,,2020-02-11T12:00:41.042951Z,2020-02-11T12:00:54.793028Z
R,0x0007,,2020-02-11T12:01:44.043227Z,2020-02-11T12:01:53.668336Z
R,0x0007,,2020-02-11T12:02:13.793449Z,2020-02-11T12:02:52.543620Z
R,0x0007,,2020-02-11T12:03:04.793702Z,2020-02-11T12:03:15.043770Z
CR,0x0007,,2020-02-11T12:03:41.793895Z,2020-02-11T12:04:09.918993Z
W,0x0007,,2020-02-11T12:06:39.794853Z,2020-02-11T12:06:43.794881Z
R,0x0007,,2020-02-11T12:07:28.420103Z,2020-02-11T12:07:39.295102Z
R,0x0007,,2020-02-11T12:07:46.045150Z,2020-02-11T12:10:19.545960Z
R,0x0007,,2020-02-11T12:11:40.546375Z,2020-02-11T12:12:13.796575Z
R,0x0007,,2020-02-11T12:12:25.921706Z,2020-02-11T12:12:53.921812Z
R,0x0007,,2020-02-11T12:13:34.797021Z,2020-02-11T12:15:34.922647Z
R,0x0007,,2020-02-11T12:16:06.672827Z,2020-02-11T12:16:41.923110Z
AC,0x0007,0x000C,2020-02-11T12:17:26.798346Z,2020-02-11T12:17:27.423330Z
W,0x0007,,2020-02-11T12:17:41.548335Z,2020-02-11T12:17:44.923365Z
AC,0x0007,0x003F,2020-02-11T12:19:32.048936Z,2020-02-11T12:19:33.174014Z
CR,0x0007,0x000E,2020-02-11T12:21:41.549640Z,2020-02-11T12:21:51.424761Z
R,0x0007,,2020-02-11T12:22:10.924945Z,2020-02-11T12:22:23.549961Z
R,0x0008,,2020-02-11T11:55:58.916437Z,2020-02-11T11:56:16.291539Z
GQ,0x0008,,2020-02-11T11:56:16.916481Z,2020-02-11T11:56:32.416578Z
R,0x0008,,2020-02-11T11:57:37.041975Z,2020-02-11T11:58:11.542111Z
R,0x0008,,2020-02-11T11:59:18.417448Z,2020-02-11T11:59:32.667604Z
GQ,0x0008,,2020-02-11T12:00:18.417850Z,2020-02-11T12:00:26.667882Z
GQ,0x0008,,2020-02-11T12:00:38.417891Z,2020-02-11T12:00:44.918217Z
GQ,0x0008,,2020-02-11T12:01:01.918073Z,2020-02-11T12:01:18.668151Z
GQ,0x0008,,2020-02-11T12:01:25.168193Z,2020-02-11T12:01:54.293352Z
GQ,0x0008,,2020-02-11T12:02:15.293455Z,2020-02-11T12:02:32.793549Z
GQ,0x0008,,2020-02-11T12:03:21.793806Z,2020-02-11T12:03:27.418768Z
GQ,0x0008,,2020-02-11T12:03:58.293942Z,2020-02-11T12:04:02.169020Z
W,0x0008,,2020-02-11T12:04:44.919233Z,2020-02-11T12:04:49.669267Z
AC,0x0008,0x0026,2020-02-11T12:05:06.919313Z,2020-02-11T12:05:07.669362Z
AC,0x0008,0x0026,2020-02-11T12:05:34.294502Z,2020-02-11T12:05:38.294526Z
GQ,0x0008,,2020-02-11T12:06:35.419750Z,2020-02-11T12:06:56.419866Z
GQ,0x0008,,2020-02-11T12:06:58.919955Z,2020-02-11T12:08:03.920218Z
GQ,0x0008,,2020-02-11T12:08:40.045478Z,2020-02-11T12:09:06.545558Z
GQ,0x0008,,2020-02-11T12:09:19.170948Z,2020-02-11T12:09:27.170752Z
TB,0x0008,,2020-02-11T12:10:49.671195Z,2020-02-11T12:10:56.546160Z
TB,0x0008,,2020-02-11T12:11:07.671221Z,2020-02-11T12:11:18.671346Z
TB,0x0008,,2020-02-11T12:11:35.421358Z,2020-02-11T12:11:51.796489Z
TB,0x0008,,2020-02-11T12:12:06.421611Z,2020-02-11T12:12:10.296568Z
TB,0x0008,,2020-02-11T12:12:15.296738Z,2020-02-11T12:12:49.921827Z
TB,0x0008,,2020-02-11T12:13:45.797151Z,2020-02-11T12:13:53.047125Z
TB,0x0008,,2020-02-11T12:13:57.797207Z,2020-02-11T12:14:02.422222Z
TB,0x0008,,2020-02-11T12:14:27.172368Z,2020-02-11T12:14:33.547307Z
TB,0x0008,,2020-02-11T12:14:37.422409Z,2020-02-11T12:14:47.922472Z
TB,0x0008,,2020-02-11T12:14:53.547502Z,2020-02-11T12:15:28.922635Z
TB,0x0008,,2020-02-11T12:15:43.547719Z,2020-02-11T12:15:56.422786Z
W,0x0008,,2020-02-11T12:16:50.798136Z,2020-02-11T12:16:56.923095Z
GQ,0x0008,,2020-02-11T12:18:37.048648Z,2020-02-11T12:18:42.173733Z
